frame_id,image_path,clip,motion_score,selection_reason,split
20191214-SLAxLANSKROUN2/frame_09061.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_09061.jpg,20191214-SLAxLANSKROUN2,0.812,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_07686.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_07686.jpg,20191214-SLAxLANSKROUN2,1.938,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_05654.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_05654.jpg,20191214-SLAxLANSKROUN2,0.894,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_06790.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_06790.jpg,20191214-SLAxLANSKROUN2,1.183,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_11529.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_11529.jpg,20191214-SLAxLANSKROUN2,1.356,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_09115.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_09115.jpg,20191214-SLAxLANSKROUN2,1.534,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_13511.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_13511.jpg,20191214-SLAxLANSKROUN2,1.363,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_13231.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_13231.jpg,20191214-SLAxLANSKROUN2,0.825,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_07728.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_07728.jpg,20191214-SLAxLANSKROUN2,1.185,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_08654.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_08654.jpg,20191214-SLAxLANSKROUN2,0.874,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_09078.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_09078.jpg,20191214-SLAxLANSKROUN2,1.786,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_09973.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_09973.jpg,20191214-SLAxLANSKROUN2,1.645,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_10750.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_10750.jpg,20191214-SLAxLANSKROUN2,1.385,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_13791.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_13791.jpg,20191214-SLAxLANSKROUN2,0.853,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_12200.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_12200.jpg,20191214-SLAxLANSKROUN2,0.909,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_10119.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_10119.jpg,20191214-SLAxLANSKROUN2,1.337,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_10011.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_10011.jpg,20191214-SLAxLANSKROUN2,1.236,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_06057.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_06057.jpg,20191214-SLAxLANSKROUN2,1.555,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_11157.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_11157.jpg,20191214-SLAxLANSKROUN2,0.983,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_11652.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_11652.jpg,20191214-SLAxLANSKROUN2,1.454,clustering_candidate,val
20191214-SLAxLANSKROUN2/frame_09891.jpg,data\frames_dense\20191214-SLAxLANSKROUN2_players1\frame_09891.jpg,20191214-SLAxLANSKROUN2,1.059,clustering_candidate,val
