frame_id,image_path,clip,motion_score,selection_reason,split
2020-01-18_JRI-SLA_vs_DRASOV/frame_07372.jpg,data\frames_dense\2020-01-18_JRI-SLA_vs_DRASOV_players1\frame_07372.jpg,2020-01-18_JRI-SLA_vs_DRASOV,1.365,clustering_candidate,val
2020-01-18_JRI-SLA_vs_DRASOV/frame_06263.jpg,data\frames_dense\2020-01-18_JRI-SLA_vs_DRASOV_players1\frame_06263.jpg,2020-01-18_JRI-SLA_vs_DRASOV,1.33,clustering_candidate,val
2020-01-18_JRI-SLA_vs_DRASOV/frame_05089.jpg,data\frames_dense\2020-01-18_JRI-SLA_vs_DRASOV_players1\frame_05089.jpg,2020-01-18_JRI-SLA_vs_DRASOV,0.833,clustering_candidate,val
2020-01-18_JRI-SLA_vs_DRASOV/frame_05816.jpg,data\frames_dense\2020-01-18_JRI-SLA_vs_DRASOV_players1\frame_05816.jpg,2020-01-18_JRI-SLA_vs_DRASOV,1.219,clustering_candidate,val
2020-01-18_JRI-SLA_vs_DRASOV/frame_10254.jpg,data\frames_dense\2020-01-18_JRI-SLA_vs_DRASOV_players1\frame_10254.jpg,2020-01-18_JRI-SLA_vs_DRASOV,0.886,clustering_candidate,val
2020-01-18_JRI-SLA_vs_DRASOV/frame_07462.jpg,data\frames_dense\2020-01-18_JRI-SLA_vs_DRASOV_players1\frame_07462.jpg,2020-01-18_JRI-SLA_vs_DRASOV,0.837,clustering_candidate,val
2020-01-18_JRI-SLA_vs_DRASOV/frame_13294.jpg,data\frames_dense\2020-01-18_JRI-SLA_vs_DRASOV_players1\frame_13294.jpg,2020-01-18_JRI-SLA_vs_DRASOV,1.763,clustering_candidate,val
2020-01-18_JRI-SLA_vs_DRASOV/frame_13038.jpg,data\frames_dense\2020-01-18_JRI-SLA_vs_DRASOV_players1\frame_13038.jpg,2020-01-18_JRI-SLA_vs_DRASOV,0.845,clustering_candidate,val
2020-01-18_JRI-SLA_vs_DRASOV/frame_06319.jpg,data\frames_dense\2020-01-18_JRI-SLA_vs_DRASOV_players1\frame_06319.jpg,2020-01-18_JRI-SLA_vs_DRASOV,1.192,clustering_candidate,val
2020-01-18_JRI-SLA_vs_DRASOV/frame_06996.jpg,data\frames_dense\2020-01-18_JRI-SLA_vs_DRASOV_players1\frame_06996.jpg,2020-01-18_JRI-SLA_vs_DRASOV,1.504,clustering_candidate,val
