frame_id,image_path,confidence,x1,y1,x2,y2
online_match_01/frame_00123.jpg,data\frames_dense2\online_match_01\frame_00123.jpg,0.677,367.1,395.9,390.8,417.6
online_match_01/frame_00125.jpg,data\frames_dense2\online_match_01\frame_00125.jpg,0.512,315.0,435.6,338.5,458.5
online_match_01/frame_00131.jpg,data\frames_dense2\online_match_01\frame_00131.jpg,0.567,324.6,331.0,345.9,351.4
online_match_01/frame_00136.jpg,data\frames_dense2\online_match_01\frame_00136.jpg,0.812,346.3,228.9,367.4,250.7
online_match_01/frame_00139.jpg,data\frames_dense2\online_match_01\frame_00139.jpg,0.521,356.3,188.9,379.7,209.9
online_match_01/frame_00141.jpg,data\frames_dense2\online_match_01\frame_00141.jpg,0.721,363.8,149.2,386.3,171.0
online_match_01/frame_00144.jpg,data\frames_dense2\online_match_01\frame_00144.jpg,0.472,375.7,117.6,396.8,137.9
online_match_01/frame_00152.jpg,data\frames_dense2\online_match_01\frame_00152.jpg,0.514,407.4,45.3,429.0,64.5
online_match_01/frame_00155.jpg,data\frames_dense2\online_match_01\frame_00155.jpg,0.756,417.6,37.8,438.6,56.7
online_match_01/frame_00157.jpg,data\frames_dense2\online_match_01\frame_00157.jpg,0.645,425.5,40.5,444.9,58.1
online_match_01/frame_00160.jpg,data\frames_dense2\online_match_01\frame_00160.jpg,0.617,436.7,40.5,459.2,60.9
online_match_01/frame_00163.jpg,data\frames_dense2\online_match_01\frame_00163.jpg,0.807,444.7,50.1,468.2,71.7
online_match_01/frame_00165.jpg,data\frames_dense2\online_match_01\frame_00165.jpg,0.639,452.8,60.4,478.4,84.7
online_match_01/frame_00168.jpg,data\frames_dense2\online_match_01\frame_00168.jpg,0.794,465.0,81.9,491.7,104.0
online_match_01/frame_00170.jpg,data\frames_dense2\online_match_01\frame_00170.jpg,0.61,477.6,106.0,498.8,126.1
online_match_01/frame_00181.jpg,data\frames_dense2\online_match_01\frame_00181.jpg,0.519,523.7,258.2,548.3,282.4
online_match_01/frame_00184.jpg,data\frames_dense2\online_match_01\frame_00184.jpg,0.597,531.9,318.8,558.4,342.5
online_match_01/frame_00186.jpg,data\frames_dense2\online_match_01\frame_00186.jpg,0.559,533.4,318.1,557.7,341.1
online_match_01/frame_00186.jpg,data\frames_dense2\online_match_01\frame_00186.jpg,0.4,331.3,399.7,349.6,417.0
online_match_01/frame_00189.jpg,data\frames_dense2\online_match_01\frame_00189.jpg,0.702,523.1,272.4,544.4,293.3
online_match_01/frame_00197.jpg,data\frames_dense2\online_match_01\frame_00197.jpg,0.541,489.3,208.9,510.5,229.2
online_match_01/frame_00200.jpg,data\frames_dense2\online_match_01\frame_00200.jpg,0.448,476.7,205.1,496.7,224.7
online_match_01/frame_00202.jpg,data\frames_dense2\online_match_01\frame_00202.jpg,0.76,464.7,202.9,486.5,223.0
online_match_01/frame_00205.jpg,data\frames_dense2\online_match_01\frame_00205.jpg,0.55,453.7,202.3,474.5,222.2
online_match_01/frame_00210.jpg,data\frames_dense2\online_match_01\frame_00210.jpg,0.684,416.2,225.4,440.3,248.0
online_match_01/frame_00213.jpg,data\frames_dense2\online_match_01\frame_00213.jpg,0.714,674.3,449.9,694.2,469.4
online_match_01/frame_00213.jpg,data\frames_dense2\online_match_01\frame_00213.jpg,0.569,392.4,255.4,414.7,276.5
online_match_01/frame_00216.jpg,data\frames_dense2\online_match_01\frame_00216.jpg,0.494,286.7,411.5,308.3,431.8
online_match_01/frame_00216.jpg,data\frames_dense2\online_match_01\frame_00216.jpg,0.423,374.4,277.0,397.6,300.3
online_match_01/frame_00224.jpg,data\frames_dense2\online_match_01\frame_00224.jpg,0.315,638.2,329.6,661.3,350.2
online_match_01/frame_00226.jpg,data\frames_dense2\online_match_01\frame_00226.jpg,0.663,710.3,316.9,735.7,341.2
online_match_01/frame_00229.jpg,data\frames_dense2\online_match_01\frame_00229.jpg,0.324,772.7,308.8,798.8,333.7
online_match_01/frame_00229.jpg,data\frames_dense2\online_match_01\frame_00229.jpg,0.281,757.3,136.8,773.0,151.9
online_match_01/frame_00231.jpg,data\frames_dense2\online_match_01\frame_00231.jpg,0.265,836.3,307.5,861.2,330.2
online_match_01/frame_00234.jpg,data\frames_dense2\online_match_01\frame_00234.jpg,0.539,883.9,309.2,908.9,332.3
online_match_01/frame_00239.jpg,data\frames_dense2\online_match_01\frame_00239.jpg,0.837,939.9,303.9,961.9,324.9
online_match_01/frame_00242.jpg,data\frames_dense2\online_match_01\frame_00242.jpg,0.582,915.8,278.7,940.9,302.2
online_match_01/frame_00245.jpg,data\frames_dense2\online_match_01\frame_00245.jpg,0.856,881.7,257.0,903.3,277.1
online_match_01/frame_00247.jpg,data\frames_dense2\online_match_01\frame_00247.jpg,0.322,0.0,387.9,19.7,409.6
online_match_01/frame_00247.jpg,data\frames_dense2\online_match_01\frame_00247.jpg,0.264,866.6,252.3,891.4,275.3
online_match_01/frame_00250.jpg,data\frames_dense2\online_match_01\frame_00250.jpg,0.802,830.9,240.3,855.6,262.8
online_match_01/frame_00250.jpg,data\frames_dense2\online_match_01\frame_00250.jpg,0.338,1018.6,288.5,1040.2,310.1
online_match_01/frame_00253.jpg,data\frames_dense2\online_match_01\frame_00253.jpg,0.733,812.6,239.7,838.5,263.8
online_match_01/frame_00255.jpg,data\frames_dense2\online_match_01\frame_00255.jpg,0.767,797.2,242.7,823.1,267.4
online_match_01/frame_00258.jpg,data\frames_dense2\online_match_01\frame_00258.jpg,0.787,784.9,255.2,809.7,277.1
online_match_01/frame_00261.jpg,data\frames_dense2\online_match_01\frame_00261.jpg,0.474,773.5,275.0,799.6,300.4
online_match_01/frame_00261.jpg,data\frames_dense2\online_match_01\frame_00261.jpg,0.34,441.8,184.5,464.8,206.5
online_match_01/frame_00263.jpg,data\frames_dense2\online_match_01\frame_00263.jpg,0.597,764.2,299.4,789.0,321.9
online_match_01/frame_00266.jpg,data\frames_dense2\online_match_01\frame_00266.jpg,0.585,751.5,323.2,778.6,346.5
online_match_01/frame_00269.jpg,data\frames_dense2\online_match_01\frame_00269.jpg,0.785,745.9,371.1,771.0,396.7
online_match_01/frame_00271.jpg,data\frames_dense2\online_match_01\frame_00271.jpg,0.586,745.6,390.4,770.1,415.1
online_match_01/frame_00274.jpg,data\frames_dense2\online_match_01\frame_00274.jpg,0.757,739.6,388.3,763.4,410.8
online_match_01/frame_00279.jpg,data\frames_dense2\online_match_01\frame_00279.jpg,0.373,730.7,273.2,754.5,296.6
online_match_01/frame_00282.jpg,data\frames_dense2\online_match_01\frame_00282.jpg,0.814,730.9,227.5,754.0,250.8
online_match_01/frame_00284.jpg,data\frames_dense2\online_match_01\frame_00284.jpg,0.602,729.7,183.2,751.2,205.2
online_match_01/frame_00287.jpg,data\frames_dense2\online_match_01\frame_00287.jpg,0.764,732.3,130.9,753.9,151.9
online_match_01/frame_00290.jpg,data\frames_dense2\online_match_01\frame_00290.jpg,0.76,733.4,99.8,755.6,120.6
online_match_01/frame_00292.jpg,data\frames_dense2\online_match_01\frame_00292.jpg,0.641,733.3,76.8,753.7,95.9
online_match_01/frame_00295.jpg,data\frames_dense2\online_match_01\frame_00295.jpg,0.616,734.2,62.5,754.7,81.7
online_match_01/frame_00298.jpg,data\frames_dense2\online_match_01\frame_00298.jpg,0.617,735.2,44.3,757.5,64.6
online_match_01/frame_00300.jpg,data\frames_dense2\online_match_01\frame_00300.jpg,0.549,736.5,45.9,760.3,67.1
online_match_01/frame_00303.jpg,data\frames_dense2\online_match_01\frame_00303.jpg,0.646,734.2,47.2,759.6,70.8
online_match_01/frame_00306.jpg,data\frames_dense2\online_match_01\frame_00306.jpg,0.619,731.7,54.7,759.2,79.3
online_match_01/frame_00308.jpg,data\frames_dense2\online_match_01\frame_00308.jpg,0.528,732.5,76.9,755.0,99.5
online_match_01/frame_00311.jpg,data\frames_dense2\online_match_01\frame_00311.jpg,0.775,731.4,102.1,751.2,121.6
